ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10152,1,1,1990,20,20,20,20,20,20,20,20,20,20
10152,2,1,1990,0,0,0,0,0,0,0,0,0,0
10153,1,1,1990,0,0,0,0,0,0,0,0,0,0
10153,2,1,1990,0,0,0,0,0,0,0,0,0,0
10154,1,1,1990,20,20,20,20,20,20,20,20,20,20
10154,2,1,1990,0,0,0,0,29,0,0,0,0,14
10155,1,1,1990,20,20,20,20,20,20,20,20,20,20
10156,1,1,1990,9,9,9,9,9,9,9,9,9,9
10157,1,1,1990,0,0,0,0,0,0,0,0,0,0
10157,2,1,1990,8,13,0,0,0,0,0,0,0,0
10157,3,1,1990,0,0,0,0,0,0,0,0,0,0
10157,4,1,1990,0,0,0,0,0,0,17,0,0,0
10158,1,1,1990,0,0,0,0,0,0,0,0,0,0
10158,2,1,1990,0,0,0,0,16,0,0,0,0,0
10159,1,1,1990,19,19,19,19,19,19,19,19,19,19
10159,2,1,1990,22,28,13,18,13,19,8,22,10,9
10160,1,1,1990,24,24,24,24,24,24,24,24,24,24
10160,2,1,1990,0,0,0,0,0,0,0,0,0,0
10161,1,1,1990,10,7,20,21,20,12,9,19,4,19
10162,1,1,1990,30,14,0,5,11,14,0,0,0,5
10163,1,1,1990,18,8,0,15,8,31,0,0,18,8
10163,2,1,1990,0,0,0,18,0,0,0,0,0,0
10163,3,1,1990,0,0,0,0,0,0,0,0,0,0
10163,4,1,1990,0,0,0,0,0,0,0,0,0,0
10164,1,1,1990,0,0,11,0,16,9,0,0,0,0
10165,1,1,1990,14,18,11,13,21,0,0,18,17,23
10165,2,1,1990,16,16,16,16,16,16,16,16,16,16
10166,0,1,1990,0,0,0,0,0,0,0,0,0,0
10166,1,1,1990,0,0,0,0,0,0,0,0,0,0
10167,1,1,1990,0,0,0,0,0,0,0,0,0,0
10168,1,1,1990,0,0,0,0,0,0,0,0,0,0
10168,2,1,1990,0,0,0,0,0,0,0,0,0,0
10169,1,1,1990,0,0,0,0,0,0,0,0,0,0
10169,2,1,1990,0,0,0,0,0,0,0,0,0,0
10170,1,1,1990,19,19,19,19,19,19,19,19,19,19
10171,1,1,1990,13,13,13,13,13,13,13,13,13,13
10172,0,1,1990,17,17,17,17,17,17,17,17,17,17
10172,1,1,1990,14,14,14,14,14,14,14,14,14,14
10173,1,1,1990,8,0,0,0,0,0,0,0,0,0
10173,2,1,1990,14,14,14,14,14,14,14,14,14,14
10173,3,1,1990,0,0,0,0,0,0,0,0,0,0
10174,1,1,1990,0,0,0,0,0,0,0,0,0,0
10175,1,1,1990,0,0,0,0,0,0,0,0,0,0
10175,2,1,1990,0,0,0,0,0,0,0,0,0,0
10175,3,1,1990,0,0,0,0,0,0,0,0,0,0
10176,1,1,1990,33,33,33,33,33,33,33,33,33,33
10177,1,1,1990,0,0,0,0,0,0,0,0,0,0
10177,2,1,1990,0,0,0,0,0,0,0,0,0,0
10178,1,1,1990,0,0,0,0,0,0,0,0,0,0
10178,2,1,1990,0,0,0,0,0,0,0,0,0,0
10179,1,1,1990,0,0,0,0,0,0,0,0,0,0
10179,2,1,1990,32,0,0,21,17,0,0,0,0,0
10180,1,1,1990,0,0,24,18,15,0,0,30,0,0
10181,1,1,1990,0,0,0,0,0,0,0,0,0,0
10181,2,1,1990,0,0,0,0,0,0,0,0,0,0
10182,0,1,1990,16,10,24,17,25,16,27,29,13,16
10182,1,1,1990,0,0,0,0,0,0,0,0,0,0
10183,1,1,1990,0,0,0,0,0,0,0,0,18,0
10184,1,1,1990,0,0,0,0,0,0,0,0,0,0
10184,2,1,1990,0,0,0,0,0,0,0,0,0,0
10185,1,1,1990,0,12,0,0,12,0,0,5,16,0
10185,2,1,1990,0,0,0,0,0,11,0,0,0,0
10185,3,1,1990,9,0,0,0,0,0,18,0,0,0
10185,4,1,1990,0,0,0,0,0,0,0,0,0,0
10186,0,1,1990,0,0,0,22,0,0,34,0,10,0
10186,1,1,1990,8,0,0,0,0,0,0,0,0,0
10187,1,1,1990,0,0,0,0,0,0,0,0,0,0
10187,2,1,1990,0,0,0,0,0,0,0,0,0,0
10188,1,1,1990,0,0,0,0,0,0,10,0,0,0
10188,2,1,1990,30,25,14,4,7,0,16,14,22,0
10189,1,1,1990,0,0,0,0,0,0,0,0,0,0
10189,2,1,1990,0,0,0,0,0,0,2,0,0,0
10189,3,1,1990,0,0,0,0,0,0,0,0,0,0
10190,1,1,1990,0,31,0,24,20,31,26,0,11,0
10191,0,1,1990,7,0,25,15,12,29,22,3,0,0
10191,1,1,1990,0,0,0,0,0,0,0,0,0,0
10192,1,1,1990,0,0,0,0,0,0,0,0,0,0
10192,2,1,1990,0,0,0,0,0,0,0,0,0,0
10193,1,1,1990,43,43,43,43,43,43,43,43,43,43
10194,1,1,1990,0,0,0,0,0,0,0,0,0,0
10195,1,1,1990,0,0,0,0,0,0,0,0,0,0
10195,2,1,1990,0,0,0,0,0,0,0,0,0,0
10196,1,1,1990,0,0,0,0,0,0,0,0,0,0
10196,2,1,1990,0,0,0,18,0,0,0,0,0,0
10197,0,1,1990,25,28,20,31,14,27,14,0,25,0
10197,1,1,1990,0,12,31,16,16,0,28,0,0,16
10198,1,1,1990,0,0,0,0,0,0,0,0,0,0
10198,2,1,1990,0,0,0,0,0,0,0,0,0,0
10198,3,1,1990,0,0,0,0,0,0,0,0,0,0
10199,1,1,1990,0,0,0,0,0,0,0,0,0,0
10199,2,1,1990,0,0,0,0,0,0,0,0,0,0
10199,3,1,1990,0,0,0,0,0,0,0,0,0,0
10200,1,1,1990,0,11,0,0,0,0,0,0,0,0
10201,0,1,1990,0,0,0,0,0,0,0,0,0,0
10201,1,1,1990,9,0,21,16,0,7,0,0,6,0
10202,0,1,1990,19,0,0,0,0,0,0,0,0,0
10202,1,1,1990,18,0,0,0,0,0,0,0,0,0
10204,1,1,1990,0,0,0,13,0,0,0,0,0,0
10204,2,1,1990,0,16,11,0,0,0,0,0,0,0
10205,1,1,1990,7,7,7,7,7,7,7,7,7,7
10205,2,1,1990,0,0,0,0,0,0,0,0,0,0
10205,3,1,1990,0,0,0,0,0,0,0,0,0,0
10206,1,1,1990,0,0,0,0,0,0,0,0,0,0
10206,2,1,1990,0,0,0,0,0,0,0,0,0,0
10206,3,1,1990,0,0,0,0,0,5,0,0,0,0
10207,1,1,1990,9,9,9,9,9,9,9,9,9,9
10208,1,1,1990,0,0,0,0,0,0,0,0,0,0
10208,2,1,1990,0,0,0,0,0,0,0,0,0,0
10209,1,1,1990,0,25,0,14,0,0,18,20,24,19
10209,2,1,1990,0,12,12,0,22,5,19,0,10,12
10210,1,1,1990,0,0,0,0,0,0,0,0,0,0
10210,2,1,1990,0,0,0,0,0,0,0,0,0,0
10211,0,1,1990,17,17,17,17,17,17,17,17,17,17
10211,1,1,1990,9,0,0,0,0,0,0,0,0,0
10212,1,1,1990,0,0,0,18,0,0,0,0,0,0
10212,2,1,1990,0,0,0,0,0,0,0,0,0,0
10213,0,1,1990,0,0,0,3,0,14,0,12,0,0
10213,1,1,1990,0,0,0,0,0,0,0,0,0,0
10214,1,1,1990,0,0,0,0,0,0,0,0,0,0
10214,2,1,1990,0,0,0,0,14,0,0,14,0,0
10214,3,1,1990,0,0,0,0,0,0,0,0,0,0
10215,1,1,1990,6,11,9,10,8,12,25,17,24,11
10215,2,1,1990,0,0,0,0,0,0,0,0,0,0
10216,0,1,1990,0,0,0,0,0,0,0,0,0,0
10216,1,1,1990,0,0,0,0,0,0,0,0,0,0
10217,1,1,1990,16,16,16,16,16,16,16,16,16,16
10218,0,1,1990,0,0,0,0,0,0,0,0,0,0
10218,1,1,1990,0,0,0,0,0,0,0,0,0,0
10219,1,1,1990,18,13,23,22,5,1,18,19,19,0
10219,2,1,1990,0,0,0,17,0,0,0,0,0,0
10220,1,1,1990,12,12,12,12,12,12,12,12,12,12
10221,1,1,1990,7,7,7,7,7,7,7,7,7,7
10222,1,1,1990,22,22,22,22,22,22,22,22,22,22
10223,1,1,1990,0,0,0,0,0,0,42,26,0,0
10223,2,1,1990,0,0,0,0,0,0,0,0,0,0
10224,1,1,1990,0,0,0,0,0,0,0,0,0,0
10224,2,1,1990,0,0,0,0,0,0,0,0,0,0
10225,1,1,1990,15,15,15,15,15,15,15,15,15,15
10226,1,1,1990,0,6,0,0,0,0,21,13,0,13
10227,1,1,1990,21,32,28,24,21,12,20,19,15,25
10227,2,1,1990,0,0,0,0,0,0,0,0,0,0
10227,3,1,1990,0,24,0,0,0,11,20,8,0,0
10228,1,1,1990,0,0,0,0,0,0,0,0,0,0
10228,2,1,1990,0,0,0,0,0,0,0,0,0,0
